LIKE_CLASSIC,LIKE_LAU,LIKE_SURVIVOR,FAVOURITE_LARA,CLL_OVERSEX,CLL_OSX_FACE,CLL_OSX_BREASTS,CLL_OSX_WAIST,CLL_OSX_HIPS,CLL_OSX_BEHAVIOUR,CLL_OSX_CLOTHES,CLL_OSX_ARTWORK,CLL_OSX_ADS,CLL_OSX_OTHER,CLASSIC_ATTR,LAU_ATTR,SURVIVOR_ATTR,SEX,ORIENTATION,AGE_GROUP
A lot,Quite a bit,A lot,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
A lot,A lot,A lot,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,Doesn't say
A little,A lot,Somewhat,LAU,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Didn't play,A lot,A lot,Survivor,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Somewhat,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Bisexual,18-24
A lot,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
Somewhat,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,45-54
A lot,Somewhat,Quite a bit,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
Quite a bit,Quite a bit,A lot,Survivor,Yes,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,25-34
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,A lot,A lot,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Female,Straight,25-34
